text,label,emotion,cleaned_text,word_count,char_count,avg_word_length,capital_count,exclaim_count,question_count,negation_count
i dont have the hatred for juice that i had last night at this time but im not feeling too fond of the veggie smell in my kitchen,2,love,dont hatred juice last night time im not feeling fond veggie smell kitchen,28,129,3.642857142857143,0,0,0,1
i wish i could call off the wedding just so i can feel carefree again,1,joy,wish call wedding feel carefree,15,69,3.6666666666666665,0,0,0,0
i am already feeling anxious then how is going off my anti anxiety medicine going to help me,4,fear,already feeling anxious going anti anxiety medicine going help,18,92,4.166666666666667,0,0,0,0
i don t feel that longing,2,love,don feel longing,6,25,3.3333333333333335,0,0,0,0
i feel contented staying grounded and take it slow as i build up the little things that comes my way,1,joy,feel contented staying grounded take slow build little things comes way,20,100,4.05,0,0,0,0
im grateful for the cozy feeling of hot cocoa and flannel nighties,2,love,im grateful cozy feeling hot cocoa flannel nighties,12,66,4.583333333333333,0,0,0,0
im not the only one that feels this discomfort and discontent in general as evidenced by matt from muse quoted here talking about their album if you look at those protests in france the size and level of protest doesnt really relate to what theyre protesting about,0,sadness,im not only one feels discomfort discontent general evidenced matt muse quoted talking album look protests france size level protest doesnt relate theyre protesting,47,264,4.638297872340425,0,0,0,1
i say nothing then i my feelings are hurt i feel uncomfortable and direspected,0,sadness,say nothing feelings hurt feel uncomfortable direspected,14,78,4.642857142857143,0,0,0,0
i do feel alittle submissive it isnt the same,0,sadness,feel alittle submissive isnt same,9,45,4.111111111111111,0,0,0,0
i realise that although i originally started this blog for a specific purpose it has really grown beyond that and i shouldnt feel pressured to writing about specific things,4,fear,realise although originally started blog specific purpose grown beyond shouldnt feel pressured writing specific things,29,172,4.9655172413793105,0,0,0,0
i work out i feel invigorated,1,joy,work feel invigorated,6,29,4.0,0,0,0,0
i must confess im feeling a little overwhelmed,4,fear,must confess im feeling little overwhelmed,8,46,4.875,0,0,0,0
i really feel amp dont be so uptight when expectations of others are met,4,fear,feel amp dont uptight expectations others met,14,72,4.214285714285714,0,0,0,0
im feeling very blessed amp grateful that i live in the united states of america with the freedoms we enjoy amp the opportunity to vote tomorrow for our next president,2,love,im feeling blessed amp grateful live united states america freedoms enjoy amp opportunity vote tomorrow next president,30,167,4.6,0,0,0,0
i feel like he counted my letter as one supporting the current status quo which to say the least is not what i stated,1,joy,feel like counted letter one supporting current status quo say least not stated,24,117,3.9166666666666665,0,0,0,1
i feel traumatised and pained,0,sadness,feel traumatised pained,5,29,5.0,0,0,0,0
stranded in the north of fraser island with a submerged wd hire vehicle,4,fear,stranded north fraser island submerged wd hire vehicle,13,71,4.538461538461538,0,0,0,0
i get the feeling youve been punished enough,0,sadness,feeling youve punished enough,8,44,4.625,0,0,0,0
i will feel so glad to go sing me to sleep sing me to sleep i dont want to wake up on my own anymore,1,joy,feel glad go sing sleep sing sleep dont want wake own anymore,25,100,3.04,0,0,0,0
i mean already as a parent from the moment the iolani left my body i can tell you i feel like im constantly fearful for something horrible happening to her thats out of my control,4,fear,mean already parent moment iolani left body tell feel like im constantly fearful something horrible happening thats control,35,179,4.142857142857143,0,0,0,0
i know we often feel like we dont know what books to use during our lessons and sometimes find the provided leveled readers to be boring,0,sadness,know often feel like dont know books use during lessons sometimes find provided leveled readers boring,26,136,4.269230769230769,0,0,0,0
i feel that the music is kinda boring,0,sadness,feel music kinda boring,8,37,3.75,0,0,0,0
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,3,anger,always feeling shape became increasingly frustrated daily accumulation body fat elusive,21,123,4.904761904761905,0,0,0,0
i think i was feeling so excited today,1,joy,think feeling excited today,8,38,3.875,0,0,0,0
i so much appreciate all of my readers and followers but please feel free to skip this pity party post,1,joy,much appreciate readers followers please feel free skip pity party post,20,102,4.15,0,0,0,0
im feeling quite excited because i get to introduce you to my newest fabulous sponsor,1,joy,im feeling quite excited because introduce newest fabulous sponsor,15,85,4.733333333333333,0,0,0,0
i have to get on my bike days straight so feeling tender a day after playing rugby is good prep for that,2,love,bike days straight feeling tender day after playing rugby good prep,22,104,3.772727272727273,0,0,0,0
i also loved the feeling of that gentle rippling through the body when i floated in water it was a bonus having friends with pools growing up in australia,2,love,loved feeling gentle rippling body floated water bonus having friends pools growing australia,29,154,4.344827586206897,0,0,0,0
i feel like a woman should be respected at all times therefore i made the right decision he said,1,joy,feel like woman respected times therefore made right decision said,19,96,4.105263157894737,0,0,0,0
i would be feeling miserable today,0,sadness,feeling miserable today,6,34,4.833333333333333,0,0,0,0
i have a sense of both in my mind s eye i feel that divine energy way up aloft and i experience its reflection in me sometimes like a rare sunny day in a rainy climate,1,joy,sense mind eye feel divine energy way aloft experience reflection sometimes like rare sunny day rainy climate,36,167,3.6666666666666665,0,0,0,0
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,1,joy,loved pack mates bonded touchy feely way sweet,21,103,3.9523809523809526,0,0,0,0
i feel spiteful for typing this but the first hand knowledge and statistics ive gone over regarding mormons and anti depressants is startling,3,anger,feel spiteful typing first hand knowledge statistics ive gone over regarding mormons anti depressants startling,23,141,5.173913043478261,0,0,0,0
i didn t feel well,1,joy,didn feel well,5,18,2.8,0,0,0,0
i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,1,joy,feel capacity producer actor someone like david far accepted comes onscreen shows boxing different light,30,158,4.3,0,0,0,0
i feel so empty and cold inside,0,sadness,feel empty cold inside,7,31,3.5714285714285716,0,0,0,0
i feel oddly peaceful,1,joy,feel oddly peaceful,4,21,4.5,0,0,0,0
ive been feeling really caring towards jt,2,love,ive feeling caring towards jt,7,41,5.0,0,0,0,0
i feel depressed to the point of developing high fever at least once a week,0,sadness,feel depressed point developing high fever least week,15,75,4.066666666666666,0,0,0,0
i feel more content with what i have achieved and i know if i don t write today there ll still be a tomorrow,1,joy,feel content achieved know don write today ll still tomorrow,24,108,3.5416666666666665,0,0,0,0
i had been feeling extremely troubled and still am so the note was welcome as roy has a philosophy of life that is very salutary and calming,0,sadness,feeling extremely troubled still note welcome roy philosophy life salutary calming,27,140,4.222222222222222,0,0,0,0
i know you cant just ged rid of your feelings but seriously i dont see your parents supporting you dating a guy who s their age,1,joy,know cant ged rid feelings seriously dont see parents supporting dating guy age,26,127,3.923076923076923,0,0,0,0
im feeling listless i like to go back to this music and remember the time i fell in love with it,0,sadness,im feeling listless like go back music remember time fell love,21,96,3.619047619047619,0,0,0,0
i had a dream in which i was infuriated with my husband and so i woke up feeling infuriated with him but unfortunately a i couldnt remember the substance of the dream so i couldnt adequately express myself and b it was just a stupid dream,3,anger,dream infuriated husband woke feeling infuriated unfortunately couldnt remember substance dream couldnt adequately express myself b stupid dream,46,238,4.195652173913044,0,0,0,0
i feel so honored and grateful to have met kassim selamat of the swallows during my trip,1,joy,feel honored grateful met kassim selamat swallows during trip,17,88,4.235294117647059,0,0,0,0
i think his uniform and glove make him feel very important too,1,joy,think uniform glove make feel important,12,62,4.25,0,0,0,0
i feel that i have to justify this behavior to you my faithful blog reader,1,joy,feel justify behavior faithful blog reader,15,74,4.0,0,0,0,0
i feel really inadequate and i just wish i had enough brains to atleast pretend to know what i was doing,0,sadness,feel inadequate wish enough brains atleast pretend know doing,21,104,4.0,0,0,0,0
i feel like i was lucky like a four leaf clover,1,joy,feel like lucky like four leaf clover,11,47,3.3636363636363638,0,0,0,0
i feel always a tad bit more troubled at the conclusion with the days due to the fact i really often desire to hit my personal sales aim at the office,0,sadness,feel always tad bit troubled conclusion days due fact often desire hit personal sales aim office,31,150,3.870967741935484,0,0,0,0
i learned to feel the clay and its limits the artistic expression became more important than the mastery of the material,1,joy,learned feel clay limits artistic expression became important mastery material,21,120,4.761904761904762,0,0,0,0
i get to tell her that i love her to make her feel valued and appreciated to tell her how beautiful and intelligent she is i do,1,joy,tell love make feel valued appreciated tell beautiful intelligent,27,127,3.740740740740741,0,0,0,0
i just know i feel like i m on potentially shaky ground,4,fear,know feel like m potentially shaky ground,12,55,3.6666666666666665,0,0,0,0
i stayed under the freezing stream maybe a few minutes longer than i would have otherwise enjoying the feeling of water over my abused body,0,sadness,stayed under freezing stream maybe few minutes longer otherwise enjoying feeling water over abused body,25,139,4.6,0,0,0,0
i feel as though at least in the range of age being doubtful or not believing in religion is not so uncommon while my mother who was born in sees being an atheist means you cannot be a moral person,4,fear,feel though least range age doubtful not believing religion not uncommon while mother born sees atheist means cannot moral person,40,197,3.95,0,0,0,2
i woke up later in the morning it was clear that she was feeling pretty lousy and luckily our normal vet had an appointment available later that morning,0,sadness,woke later morning clear feeling pretty lousy luckily normal vet appointment available later morning,28,152,4.464285714285714,0,0,0,0
im watching a movie called sharknado i feel like my intelligence is being insulted,3,anger,im watching movie called sharknado feel like intelligence insulted,14,82,4.928571428571429,0,0,0,0
i am a bit of a romantic so i really feel like we missed out on those things this time but i would not trade the family time we spent together,0,sadness,bit romantic feel like missed things time not trade family time spent together,31,142,3.6129032258064515,0,0,0,1
i feel really lethargic today and just cant be bothered with much,0,sadness,feel lethargic today cant bothered much,12,65,4.5,0,0,0,0
i was feeling very vulnerable and down no one really close to me has ever died before i either hadnt known them very well or was too young to remember,4,fear,feeling vulnerable no one close ever died before either hadnt known well young remember,30,150,4.033333333333333,0,0,0,1
i feel hopeless i cannot cope,0,sadness,feel hopeless cannot cope,6,29,4.0,0,0,0,0
i get changed i am feeling insecure,4,fear,changed feeling insecure,7,35,4.142857142857143,0,0,0,0
im not joking we had the feeling they were either extremely friendly or they hadnt seen a westerner before,1,joy,im not joking feeling either extremely friendly hadnt seen westerner before,19,106,4.631578947368421,0,0,0,1
i ached so bad the bones in my toes hurt to walk and i swear i could feel my liver aching,0,sadness,ached bad bones toes hurt walk swear feel liver aching,21,89,3.2857142857142856,0,0,0,0
i had promised her i will buy their cupcake bt im feeling shy to face her n thn miss it,4,fear,promised buy cupcake bt im feeling shy face n thn miss,20,87,3.4,0,0,0,0
i hate being so hungry and weak that i feel stubborn and dont want to do anything productive,3,anger,hate hungry weak feel stubborn dont want anything productive,18,92,4.166666666666667,0,0,0,0
i feel like i know i m troubled and that s why i give myself an excuse,0,sadness,feel like know m troubled why give myself excuse,17,70,3.176470588235294,0,0,0,0
i look back on that i feel amazed that at such a young age i could just pull it together like that,5,surprise,look back feel amazed such young age pull together like,22,98,3.5,0,0,0,0
i feel is only acceptable when that violence could lessen much more violence this could also apply to what i am discussing below i,1,joy,feel only acceptable violence lessen much violence apply discussing below,24,130,4.458333333333333,0,0,0,0
i have written but you feel the need to point out that someone somewhere could be offended if they were to read my words out of context knowing nothing about me and after having a really bad day do not bother to inform me of this,3,anger,written feel need point someone somewhere offended read words context knowing nothing after having bad day not bother inform,46,229,4.0,0,0,0,1
i am also aware that there is no glamour in them and sometimes i just want to feel glamourous you know,1,joy,aware no glamour sometimes want feel glamourous know,21,102,3.9047619047619047,0,0,0,1
i sit here feeling annoyed at my sons my pets and my husband im also trying to think of something to feel grateful for this saturday,3,anger,sit feeling annoyed sons pets husband im trying think something feel grateful saturday,26,132,4.115384615384615,0,0,0,0
i was feeling playful so i danced around the place,1,joy,feeling playful danced around place,10,50,4.1,0,0,0,0
i can say that once again after the test drive we left feeling impressed by the cx and with steve and adams assistance,5,surprise,say after test drive left feeling impressed cx steve adams assistance,23,118,4.173913043478261,0,0,0,0
i feel a discontent an almost constant pull to travel need for an adventure to find my purpose and loneliness,0,sadness,feel discontent almost constant pull travel need adventure find purpose loneliness,20,109,4.5,0,0,0,0
im not feeling too keen on that,1,joy,im not feeling keen,7,31,3.5714285714285716,0,0,0,1
i don t feel particularly inspired,1,joy,don feel particularly inspired,6,34,4.833333333333333,0,0,0,0
i feel even more pressured to cook healthy meals and not eat out do thorough preschool lessons with my boys keep the house spotless exercise serve the church and community and be a happy loving wife at all times,4,fear,feel even pressured cook healthy meals not eat thorough preschool lessons boys keep house spotless exercise serve church community happy loving wife times,39,211,4.435897435897436,0,0,0,1
i get to know about it the more guilty i feel for not being as faithful as these guys are,2,love,know guilty feel not faithful guys,20,89,3.5,0,0,0,1
i wont be totally satisfied until i feel like me and my work actually means something to more than my loyal reading viewing audience,2,love,wont totally satisfied until feel like work actually means something loyal reading viewing audience,24,132,4.541666666666667,0,0,0,0
i feel that popular bloggers dont post with freedom anymore there will always be part control rare exception is the blog love aesthetics,1,joy,feel popular bloggers dont post freedom anymore always part control rare exception blog love aesthetics,23,136,4.956521739130435,0,0,0,0
i didnt want to be lazy or feel groggy so i just kept drinking red bull,0,sadness,didnt want lazy feel groggy kept drinking red bull,16,71,3.5,0,0,0,0
im simply feeling just a little unhappy about the whole skinnyg and even the charming customer provider hasnt made that go away,0,sadness,im simply feeling little unhappy whole skinnyg even charming customer provider hasnt made go away,22,127,4.818181818181818,0,0,0,0
i feel honored that my art is going to fill a room where sick children need all the joy they can get,1,joy,feel honored art going fill room sick children need joy,22,100,3.590909090909091,0,0,0,0
im feeling scared im going to treat this as sacred something valuable to venerate and pretend im like a cat,4,fear,im feeling scared im going treat sacred something valuable venerate pretend im like cat,20,107,4.4,0,0,0,0
i feel eager and anxious and antsy in regards to it,1,joy,feel eager anxious antsy regards,11,51,3.727272727272727,0,0,0,0
i thought id talk today about getting cold feet im sure every bride will know that feeling when hubby to be did something that reeeeeeeeally pissed us off and we start yelling that we just cant do this anymore i cant marry someone like you,3,anger,thought id talk today getting cold feet im sure every bride know feeling hubby something reeeeeeeeally pissed start yelling cant anymore cant marry someone like,45,239,4.333333333333333,0,0,0,0
i feel like there isnt any dirty oil left on my skin after using this to clog my pores or make my skin oily towards the end of the day,0,sadness,feel like isnt any dirty oil left skin after using clog pores make skin oily towards end day,30,134,3.5,0,0,0,0
i wouldn t make too big of a deal out of the situation you found your daughter in unless you feel prompted to not fearful,4,fear,wouldn make big deal situation found daughter unless feel prompted not fearful,25,121,3.88,0,0,0,1
i get frustrated when i know that some of the things i am thinking or feeling are very very petty so i try and limit myself to opinions that have some sort of validity,3,anger,frustrated know things thinking feeling petty try limit myself opinions sort validity,34,167,3.9411764705882355,0,0,0,0
i look into the news especially at these unsettling times sometimes i just feel so burdened to pray and cry out to god for the nations,0,sadness,look news especially unsettling times sometimes feel burdened pray cry god nations,26,134,4.1923076923076925,0,0,0,0
i feel like all women are witches in someway why do we have to be tortured for being beautiful and powerful,3,anger,feel like women witches someway why tortured beautiful powerful,21,107,4.142857142857143,0,0,0,0
i really feel rotten and my ear hurts so bad but i still managed to work out days and really push the intensity,0,sadness,feel rotten ear hurts bad still managed work days push intensity,23,111,3.869565217391304,0,0,0,0
i feel very delighted for my stay here in manila is nearing its end and feel so down for the same reason,1,joy,feel delighted stay manila nearing end feel same reason,22,104,3.772727272727273,0,0,0,0
i feel strongly that what you identify as the priority must be respected and explored in counselling,1,joy,feel strongly identify priority must respected explored counselling,17,100,4.9411764705882355,0,0,0,0
i feel if i say anything it just makes me look petty,3,anger,feel say anything makes look petty,12,52,3.4166666666666665,0,0,0,0
i can feel the amused smile that tugs at my lips,1,joy,feel amused smile tugs lips,11,48,3.4545454545454546,0,0,0,0
i feel so uptight and tense,4,fear,feel uptight tense,6,27,3.6666666666666665,0,0,0,0
i feel that this community s most beloved living our lives gold or silver nest as their grass nest long time ago our house is divided now called the commercial housing,2,love,feel community beloved living lives gold silver nest grass nest long time ago house divided called commercial housing,31,167,4.419354838709677,0,0,0,0
i get so irritated with the fact that i am a feeling emotional person but can t cope with feelings of rejection,0,sadness,irritated fact feeling emotional person cope feelings rejection,22,111,4.090909090909091,0,0,0,0
i was constantly complaining of not feeling so hot,2,love,constantly complaining not feeling hot,9,50,4.666666666666667,0,0,0,1
i feel like my casual nonchalant attitude is easi,1,joy,feel like casual nonchalant attitude easi,9,49,4.555555555555555,0,0,0,0
i can t justify i get a little annoyed when non diabetics say they have low blood sugar because i imagine their low blood sugars don t feel as terrible as mine do,0,sadness,justify little annoyed non diabetics say low blood sugar because imagine low blood sugars don feel terrible mine,33,162,3.9393939393939394,0,0,0,0
i didn t mean to sound as though i feel offended i meant it as a joke guess people didn t get it haha,3,anger,didn mean sound though feel offended meant joke guess people didn haha,24,101,3.25,0,0,0,0
i remember the same giddy feeling of contented good fortune lucky lucky me here safe in our cozy home watching my fabulous man head off for the day knowing he ll be coming home to me in a few hours,1,joy,remember same giddy feeling contented good fortune lucky lucky safe cozy home watching fabulous man head day knowing ll coming home few hours,40,197,3.95,0,0,0,0
i feel pathetic and i want to push myself but the idea of chicken mince wheat free pasta rice spelt bread and fruit sorbet is quite scary,0,sadness,feel pathetic want push myself idea chicken mince wheat free pasta rice spelt bread fruit sorbet quite scary,27,137,4.111111111111111,0,0,0,0
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,4,fear,said feeling strange uttering words space flight still pretty novel way traveling time,21,113,4.428571428571429,0,0,0,0
i was in a really good mood at work and was feeling playful,1,joy,good mood work feeling playful,13,59,3.6153846153846154,0,0,0,0
i mean as a group thing it felt good to get in there and add something relevant for us but im still not really feeling delicious as a tool for me,1,joy,mean group thing felt good add something relevant im still not feeling delicious tool,31,145,3.7096774193548385,0,0,0,1
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,3,anger,going crazy thank god craving fruits chocolate made go cold gross wind blowing neck feeling mad angry crappy,36,169,3.7222222222222223,0,0,0,0
i feel so weird and scattered with all wonders about a million different things,4,fear,feel weird scattered wonders million different things,14,79,4.714285714285714,0,0,0,0
i feel like theyre perfect if youre too lazy to fix your hair,1,joy,feel like theyre perfect youre lazy fix hair,13,61,3.769230769230769,0,0,0,0
i didnt feel that it was strong enough to stop me from turning into a strawberry by the end of my holiday,1,joy,didnt feel strong enough stop turning strawberry end holiday,22,105,3.8181818181818183,0,0,0,0
i guess were annoyed agiatated and my sis feels hated darn cos i told her shes a geek i love you amy,3,anger,guess annoyed agiatated sis feels hated darn cos told shes geek love amy,22,100,3.590909090909091,0,0,0,0
i think writing like this will be more fun and fulfilling and i think that when i do decide to introduce b to my blog it will feel positive and overall more balanced,1,joy,think writing like fun fulfilling think decide introduce b blog feel positive overall balanced,33,165,4.03030303030303,0,0,0,0
i feel like i am one of the most confident people around but maybe my confidence in certain things is not the same confidence i have in myself as a human being,1,joy,feel like one confident people around maybe confidence certain things not same confidence myself human,32,159,4.0,0,0,0,1
i may pour out the half empty cup here i will still be making significantly less than i was making at the age of fresh out of college is an entire dollar and some change more an hour which feels like sweet desperate progress,1,joy,may pour half empty cup still making significantly less making age fresh college entire dollar change hour feels like sweet desperate progress,44,224,4.113636363636363,0,0,0,0
im not feeling pissed off about picking up those toys,3,anger,im not feeling pissed picking toys,10,53,4.4,0,0,0,1
i definitely felt scared which made me feel vulnerable and i hated that,4,fear,definitely felt scared made feel vulnerable hated,13,71,4.538461538461538,0,0,0,0
i feel heartless in saying so though,3,anger,feel heartless saying though,7,36,4.285714285714286,0,0,0,0
i mane is feeling generous and releases his new lp diary of a trap god for free,1,joy,mane feeling generous releases new lp diary trap god free,17,79,3.7058823529411766,0,0,0,0
i must not feel complacent,1,joy,must not feel complacent,5,26,4.4,0,0,0,1
i am feeling very generous this month so i have decided to give away free my kit a href http dezinesamaze,1,joy,feeling generous month decided give away free kit href http dezinesamaze,21,105,4.0476190476190474,0,0,0,0
i personally don t think a cavalier should be trimmed i feel it spoils the look of this breed especially when it has such a gorgeous full coat,1,joy,personally don think cavalier trimmed feel spoils look breed especially such gorgeous full coat,28,142,4.107142857142857,0,0,0,0
i feel like i am i the only one out there who is as angry as i am about suffering such loss about stupid cancer about unfairness about what is even though nothing about it is right,3,anger,feel like only one angry suffering such loss stupid cancer unfairness even though nothing right,37,180,3.891891891891892,0,0,0,0
i came home still feeling stunned and in need of rest i received a call from a dear elderly cousin marie to say she called an ambulance for herself and would be going to the hospital,5,surprise,came home still feeling stunned need rest received call dear elderly cousin marie say called ambulance herself going hospital,36,182,4.083333333333333,0,0,0,0
i feel they think im always glad but theres something they dont no im the one whos feeling sad,1,joy,feel think im always glad theres something dont no im one whos feeling sad,19,94,4.0,0,0,0,1
i feel that the tips given are very useful especially to parents with young kids like me,1,joy,feel tips given useful especially parents young kids like,17,88,4.235294117647059,0,0,0,0
i reached the halfway point of the climb and my arms were feeling good but god dam my right leg was tired,1,joy,reached halfway point climb arms feeling good god dam right leg tired,22,105,3.8181818181818183,0,0,0,0
i feel so blank and then like im going to explode,0,sadness,feel blank like im going explode,11,49,3.5454545454545454,0,0,0,0
im feeling particularly benevolent today,1,joy,im feeling particularly benevolent today,5,40,7.2,0,0,0,0
i attempt to convince others of what they should think and how they truly feel i become a title resentful href http en,3,anger,attempt convince others think truly feel become title resentful href http en,23,118,4.173913043478261,0,0,0,0
im feeling really adventurous maybe white,1,joy,im feeling adventurous maybe white,6,41,6.0,0,0,0,0
i feel i can step into the world of men with a dignified stance,1,joy,feel step world men dignified stance,14,63,3.5714285714285716,0,0,0,0
i dont like chiharu see episode i feel that see is ungrateful and blind,0,sadness,dont like chiharu see episode feel see ungrateful blind,14,71,4.142857142857143,0,0,0,0
i only cry when i think how guilty youll make me feel and yes ive fucked up a million reasons for shame and im sorry,3,anger,only cry think guilty youll make feel yes ive fucked million reasons shame im sorry,25,116,3.68,0,0,0,0
i was feeling particularly beaten up by istanbul and homesickish i passed a burger king and the door opened and the smell hit me full in the face and suddenly i was in snowpea my white nissan stanza in the drive thru of the burger king on rt,0,sadness,feeling particularly beaten istanbul homesickish passed burger king door opened smell hit full face suddenly snowpea white nissan stanza drive thru burger king rt,48,241,4.041666666666667,0,0,0,0
i always have been when im not feeling sociable extreme or the other,1,joy,always im not feeling sociable extreme,13,68,4.3076923076923075,0,0,0,1
i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude,3,anger,overall dark uncomfortable feeling chose stay until end not disrupt rude,23,110,3.8260869565217392,0,0,0,1
i feel honoured to be friends with you,1,joy,feel honoured friends,8,38,3.875,0,0,0,0
i feel for the guy because i think he is sincere honest and intelligent,1,joy,feel guy because think sincere honest intelligent,14,71,4.142857142857143,0,0,0,0
i feel utterly devastated that she must go through this and do so alone,0,sadness,feel utterly devastated must go alone,14,71,4.142857142857143,0,0,0,0
i feel each time one of my posts gets massively downvoted pagetitle rugmi popular images of the now,1,joy,feel time one posts gets massively downvoted pagetitle rugmi popular images,18,99,4.555555555555555,0,0,0,0
i overcome the claustrophobic feeling that i get after i dont know but what i do know is that there is a path i need to follow to get to my vision and i need to make sure the road i choose has to lead there,1,joy,overcome claustrophobic feeling after dont know know path need follow vision need make sure road choose lead,46,206,3.5,0,0,0,0
i would like to know why duke university administrators feel that it is acceptable to readmit collin finnerty news story jan,1,joy,like know why duke university administrators feel acceptable readmit collin finnerty news story jan,21,124,4.9523809523809526,0,0,0,0
i look back and i feel so incredibly satisfied with my life refreshed ready for my next adventure,1,joy,look back feel incredibly satisfied life refreshed ready next adventure,18,97,4.444444444444445,0,0,0,0
i can see or feel about it is the divine possibility of being with you away alone for one long golden day at last anywhere,1,joy,see feel divine possibility away alone one long golden day last anywhere,25,122,3.92,0,0,0,0
i feel really irritable when im surrounded with it,3,anger,feel irritable im surrounded,9,50,4.666666666666667,0,0,0,0
i love that its adoption of a teenager which many people feel afraid to consider,4,fear,love adoption teenager many people feel afraid consider,15,80,4.4,0,0,0,0
i always feel pressured to make it perfect fit for for all audiences and gorgeous in creativity,4,fear,always feel pressured make perfect fit audiences gorgeous creativity,17,95,4.647058823529412,0,0,0,0
i feel helpless,4,fear,feel helpless,3,15,4.333333333333333,0,0,0,0
i really have nothing to talk about i m just feeling so damn antsy and needy and lonely,0,sadness,nothing talk m feeling damn antsy needy lonely,18,87,3.888888888888889,0,0,0,0
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,0,sadness,feel sometimes lessons boring post buuuuuut dear friend rach new sunday school teacher wanting see ive doing ill still post lessons,42,206,3.9285714285714284,0,0,0,0
im feeling as if im not caring and i dont want to fail my finals,2,love,im feeling im not caring dont want fail finals,15,64,3.3333333333333335,0,0,0,1
i feel you are so delicate now,2,love,feel delicate,7,30,3.4285714285714284,0,0,0,0
i know i probably shouldnt write with that sort of angry passion here on the blog but i never want to feel inhibited on what i can and cannot post,4,fear,know probably shouldnt write sort angry passion blog never want feel inhibited cannot post,30,146,3.9,0,0,0,1
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,4,fear,feel like only one trying accomplish everything especially balance extremely distressed world,20,118,4.95,0,0,0,0
i started to feel discouraged,0,sadness,started feel discouraged,5,29,5.0,0,0,0,0
i think of the future of the subcontinent i find myself feeling optimistic despite everything i read in the papers,1,joy,think future subcontinent find myself feeling optimistic despite everything read papers,20,114,4.75,0,0,0,0
i feel really free i feel that i can grow wings amp fly,1,joy,feel free feel grow wings amp fly,13,55,3.3076923076923075,0,0,0,0
i start to feel happy and then i think of how lonely my cat feels,1,joy,start feel happy think lonely cat feels,15,65,3.4,0,0,0,0
i feel scared to use headphones,4,fear,feel scared use headphones,6,31,4.333333333333333,0,0,0,0
i feel so useless in this,0,sadness,feel useless,6,25,3.3333333333333335,0,0,0,0
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,3,anger,feeling dangerous task dancing lightening storm umbrella,20,100,4.05,0,0,0,0
i feel rather petty that i just dont have time to have someone talented like christine make it,3,anger,feel rather petty dont time someone talented like christine make,18,94,4.277777777777778,0,0,0,0
i feel foolish and desperate almost for feeling so strongly about this,0,sadness,feel foolish desperate almost feeling strongly,12,70,4.916666666666667,0,0,0,0
i feel more irritated than peaceful,3,anger,feel irritated peaceful,6,35,5.0,0,0,0,0
i feel troubled lord and i honestly don t know why,0,sadness,feel troubled lord honestly don know why,11,50,3.6363636363636362,0,0,0,0
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,0,sadness,peruse few pages before feel dull headache building base skull point m kicking myself bringing dreaded case car sickness,36,174,3.861111111111111,0,0,0,0
i do feel very successful right now,1,joy,feel successful right,7,35,4.142857142857143,0,0,0,0
i can only feel sorry for us that the relationship didnt work out,0,sadness,only feel sorry relationship didnt work,13,65,4.076923076923077,0,0,0,0
i want to express my feeling i dont know how to start it but seriously i feel so miserable right now love or friend,0,sadness,want express feeling dont know start seriously feel miserable right love friend,24,115,3.8333333333333335,0,0,0,0
i feel distraught worried panicked sick scared sad,4,fear,feel distraught worried panicked sick scared sad,8,50,5.375,0,0,0,0
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,0,sadness,id begun feel empty after having several juices lots water water only make feel full long quite good rinsing pie hole putrid flavors id forced upon myself,46,227,3.9565217391304346,0,0,0,0
i do feel very angered though,3,anger,feel angered though,6,29,4.0,0,0,0,0
i feel the need to lend my hand in the loyal promotion of greg weismans baby in hopes that disney will some day pick it back up or at the very least sell the rest of the series on dvd,2,love,feel need lend hand loyal promotion greg weismans baby hopes disney day pick back least sell rest series dvd,40,183,3.6,0,0,0,0
i watch movies set in the s and s i feel pangs of melancholy,0,sadness,watch movies set feel pangs melancholy,14,60,3.357142857142857,0,0,0,0
i feel like i am going to throw up or something i hated that site soooo much,0,sadness,feel like going throw something hated site soooo much,17,76,3.5294117647058822,0,0,0,0
i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,1,joy,woke saturday feeling little brighter keen outdoors after spending day friday wallowing self pity,24,131,4.5,0,0,0,0
i have eternal hope he says and when they arrive on the bridge she finds she likes the feel of the fond smile on her face too much to hide it,2,love,eternal hope says arrive bridge finds likes feel fond smile face much hide,31,141,3.5806451612903225,0,0,0,0
